epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,3727.54,1.11342,0.7314,1.08433,0.92249,0.75874,0.85592,0.58559,1.1277,0.69943,0.98381,0.0006139,0.0006139,0.0006139
80,3774.39,1.09582,0.72795,1.07499,0.93198,0.76044,0.85959,0.58551,1.11718,0.69345,0.98917,0.00060895,0.00060895,0.00060895
81,3820.88,1.10736,0.72203,1.06867,0.89331,0.80307,0.8672,0.58417,1.1549,0.6855,0.97969,0.000604,0.000604,0.000604
82,3867.49,1.10442,0.71996,1.07873,0.89638,0.78175,0.85932,0.57736,1.17343,0.69018,0.99624,0.00059905,0.00059905,0.00059905
83,3914.01,1.08911,0.73314,1.07446,0.91268,0.78414,0.85837,0.58833,1.11394,0.67921,0.98178,0.0005941,0.0005941,0.0005941
84,3960.74,1.10059,0.72384,1.07645,0.90982,0.79132,0.86186,0.58449,1.14924,0.69283,0.98233,0.00058915,0.00058915,0.00058915
85,4007.95,1.06689,0.70495,1.05664,0.88687,0.78865,0.85315,0.58423,1.13155,0.68941,0.98352,0.0005842,0.0005842,0.0005842
86,4054.36,1.06665,0.71809,1.06428,0.89939,0.7954,0.86463,0.59015,1.10064,0.66844,0.98109,0.00057925,0.00057925,0.00057925
87,4101.07,1.07973,0.71325,1.07126,0.91233,0.78261,0.85989,0.57974,1.1658,0.68142,0.98062,0.0005743,0.0005743,0.0005743
88,4147.4,1.06631,0.69848,1.05937,0.90844,0.79625,0.87234,0.59579,1.117,0.66309,0.96993,0.00056935,0.00056935,0.00056935
89,4193.99,1.05651,0.687,1.05885,0.90464,0.78858,0.85822,0.59262,1.10587,0.66697,0.98414,0.0005644,0.0005644,0.0005644
90,4240.63,1.06192,0.70046,1.06676,0.91065,0.78198,0.8608,0.59092,1.11487,0.67649,0.98351,0.00055945,0.00055945,0.00055945
91,4290.45,1.06834,0.69388,1.06382,0.92693,0.76556,0.8637,0.60534,1.0479,0.6608,0.97373,0.0005545,0.0005545,0.0005545
92,4337.65,1.05545,0.69047,1.06181,0.90072,0.79454,0.86802,0.5948,1.11933,0.66316,0.98706,0.00054955,0.00054955,0.00054955
93,4384.04,1.07127,0.69378,1.06496,0.91426,0.79199,0.86734,0.59789,1.09871,0.65015,0.98108,0.0005446,0.0005446,0.0005446
94,4430.48,1.04579,0.68615,1.04718,0.91936,0.7971,0.86547,0.607,1.06561,0.63711,0.96493,0.00053965,0.00053965,0.00053965
95,4480.39,1.05038,0.67941,1.04965,0.93528,0.78431,0.87498,0.60731,1.0892,0.65085,0.96747,0.0005347,0.0005347,0.0005347
96,4529.88,1.0649,0.68888,1.05698,0.92644,0.78772,0.8693,0.60395,1.08462,0.65266,0.97499,0.00052975,0.00052975,0.00052975
97,4580.08,1.05354,0.67316,1.05095,0.92411,0.77862,0.86341,0.60436,1.08117,0.64722,0.97717,0.0005248,0.0005248,0.0005248
98,4629.45,1.04733,0.69204,1.06397,0.9129,0.78631,0.86482,0.60127,1.10536,0.6544,0.97745,0.00051985,0.00051985,0.00051985
99,4679.33,1.03915,0.67021,1.04947,0.91055,0.78261,0.86186,0.59691,1.11868,0.6591,0.97325,0.0005149,0.0005149,0.0005149
100,4730.46,1.04468,0.67747,1.04897,0.93257,0.7792,0.86926,0.6002,1.11785,0.65079,0.97301,0.00050995,0.00050995,0.00050995
101,4781.54,1.03643,0.6626,1.06049,0.91484,0.7809,0.86471,0.61295,1.04426,0.64443,0.96015,0.000505,0.000505,0.000505
102,4831.77,1.03003,0.66584,1.04694,0.90571,0.78613,0.86849,0.59992,1.10684,0.63802,0.97458,0.00050005,0.00050005,0.00050005
103,4879.45,1.03244,0.66065,1.04438,0.92268,0.78687,0.87029,0.60914,1.094,0.63576,0.97471,0.0004951,0.0004951,0.0004951
104,4927.03,1.04936,0.6722,1.06037,0.92911,0.7821,0.86799,0.61683,1.06345,0.63268,0.9716,0.00049015,0.00049015,0.00049015
105,4974.19,1.01242,0.64948,1.04125,0.90404,0.80319,0.871,0.60543,1.12266,0.64687,0.98324,0.0004852,0.0004852,0.0004852
106,5021.26,1.02468,0.65814,1.04562,0.92798,0.78772,0.87072,0.61062,1.08942,0.63812,0.97092,0.00048025,0.00048025,0.00048025
107,5069.78,1.00167,0.63652,1.03464,0.92433,0.79149,0.8721,0.61315,1.07019,0.62902,0.96887,0.0004753,0.0004753,0.0004753
108,5118.26,1.02149,0.66415,1.04196,0.92319,0.7787,0.87399,0.60303,1.10161,0.64499,0.96937,0.00047035,0.00047035,0.00047035
109,5166.22,1.03594,0.6579,1.05101,0.91628,0.79311,0.87372,0.61271,1.0722,0.62843,0.96334,0.0004654,0.0004654,0.0004654
110,5214.14,1.00995,0.64748,1.03858,0.90374,0.80036,0.86907,0.61258,1.07684,0.63078,0.9676,0.00046045,0.00046045,0.00046045
111,5261.95,1.00877,0.63727,1.0428,0.93088,0.79199,0.87341,0.62339,1.05048,0.61525,0.96088,0.0004555,0.0004555,0.0004555
112,5309.65,1.01715,0.6386,1.03668,0.93808,0.78781,0.87317,0.61119,1.06987,0.62815,0.95946,0.00045055,0.00045055,0.00045055
113,5357.29,1.01175,0.63426,1.04141,0.9325,0.78908,0.87387,0.61828,1.04418,0.6239,0.96513,0.0004456,0.0004456,0.0004456
114,5405.3,1.01398,0.63653,1.04216,0.91769,0.80786,0.87375,0.61303,1.06282,0.62357,0.95984,0.00044065,0.00044065,0.00044065
115,5456.24,1.00451,0.63298,1.03365,0.92021,0.79637,0.87911,0.61972,1.06274,0.6098,0.9534,0.0004357,0.0004357,0.0004357
116,5506.4,1.0188,0.64933,1.04344,0.93001,0.79295,0.87176,0.62051,1.05063,0.60754,0.95609,0.00043075,0.00043075,0.00043075
117,5556.45,1.00686,0.63108,1.03582,0.93405,0.78481,0.87354,0.61626,1.05365,0.61144,0.95469,0.0004258,0.0004258,0.0004258
118,5606.7,1.00423,0.6276,1.02869,0.9389,0.78607,0.87528,0.61632,1.07133,0.61367,0.96559,0.00042085,0.00042085,0.00042085
119,5660.33,1.00559,0.63379,1.03128,0.93697,0.79028,0.87366,0.62613,1.02776,0.61524,0.9609,0.0004159,0.0004159,0.0004159
120,5713.64,0.98602,0.61412,1.02509,0.93155,0.80307,0.88234,0.633,1.01035,0.60226,0.95389,0.00041095,0.00041095,0.00041095
121,5765.59,0.99179,0.62388,1.02822,0.92156,0.78858,0.87185,0.61797,1.0518,0.61166,0.96237,0.000406,0.000406,0.000406
122,5823.19,0.9903,0.61507,1.03084,0.92633,0.78254,0.87215,0.61721,1.08028,0.61757,0.96674,0.00040105,0.00040105,0.00040105
123,5877.56,0.99975,0.61871,1.03251,0.95035,0.7809,0.87981,0.62147,1.06146,0.61441,0.95981,0.0003961,0.0003961,0.0003961
124,5932.78,0.98773,0.61608,1.02442,0.94739,0.77835,0.8782,0.62117,1.04595,0.60487,0.95627,0.00039115,0.00039115,0.00039115
125,5986.2,0.9879,0.61579,1.02723,0.91882,0.80136,0.87803,0.62619,1.05299,0.61004,0.95313,0.0003862,0.0003862,0.0003862
126,6044.69,0.97387,0.60806,1.0273,0.92676,0.78743,0.87872,0.62648,1.0294,0.60178,0.95277,0.00038125,0.00038125,0.00038125
